,amenities
11,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'FreedryerInunit', 'Coffeemaker', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Iron', 'Firstaidkit', 'Hotwater', 'TV', 'Kitchen', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Childrensbooksandtoys', 'Outletcovers', 'Room-darkeningshades', 'Paidparkingonpremises', 'Oven', 'Microwave']"
12,"['Keypad', 'Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'FreedryerInunit', 'Luggagedropoffallowed', 'Selfcheck-in', 'Highchair-availableuponrequest', 'Crib-availableuponrequest', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Inductionstove', 'Iron', 'Wineglasses', 'Noisedecibelmonitorsonproperty', 'Hotwater', 'TV', 'Bedlinens', 'Hangers', 'Kitchen', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Oven', 'Safe', 'Fireextinguisher', 'Clothingstorage', 'Airconditioning', 'Coffee', 'Diningtable', 'Microwave']"
13,"['Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Privateentrance', 'Luggagedropoffallowed', 'Buildingstaff', 'Longtermstaysallowed', 'Coffeemaker', 'Selfcheck-in', 'Outdoordiningarea', 'Windowguards', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Toaster', 'Hotwaterkettle', 'Petsallowed', 'Iron', 'Wineglasses', 'Cleaningavailableduringstay', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Crib', 'Oven', 'Fireextinguisher', 'Patioorbalcony', 'Clothingstorage', 'Airconditioning', 'Coffee', 'Diningtable', 'Microwave']"
14,"['Coffeemaker:Nespresso', 'Essentials', 'Paidparkingoffpremises', 'Minifridge', 'Buildingstaff', 'Smokealarm', 'Fastwifi244Mbps', 'Lockonbedroomdoor', 'Iron', 'Hotwater', 'TV', 'Bedlinens', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Clothingstorage', 'Laundromatnearby', 'Selfcheck-in', 'Coffee']"
16,"['Shampoo', 'Essentials', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'FreedryerInbuilding', 'Smokealarm', 'Refrigerator', 'Wifi', 'Iron', 'Firstaidkit', 'Hotwater', 'TV', 'Bathtub', 'Lockbox', 'Bedlinens', 'Hangers', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Selfcheck-in']"
17,"['Recordplayer', 'Paidstreetparkingoffpremises', 'Essentials', 'Blender', 'Washer', 'Dryingrackforclothing', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Freezer', 'Stove', 'Soundsystem', 'Toaster', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Booksandreadingmaterial', 'Bedlinens', 'Kitchen', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Oven', 'Dryer\\u00a0Inunit', 'Coffee', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
18,"['Wifi', 'Washer', 'Freeparkingonpremises', 'Lockonbedroomdoor']"
19,"['Essentials', 'Dishwasher', 'Coffeemaker:espressomachine', 'Privateentrance', 'Dryingrackforclothing', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Soundsystem', 'Iron', 'Resortaccess', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Courtyardview', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Paidparkingonpremises', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Hostgreetsyou', 'Diningtable', 'Hotwaterkettle']"
20,"['Shampoo', 'Essentials', 'Dishwasher', 'Showergel', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'SonosBluetoothsoundsystem', 'Coffeemaker', 'Privatepatioorbalcony', 'Cookingbasics', 'Toaster', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Iron', 'Clothingstorage:dresser', 'Hotwater', 'TV', 'Bathtub', 'SANEXbodysoap', 'Booksandreadingmaterial', 'Bedlinens', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Room-darkeningshades', 'Oven', 'Laundromatnearby', 'Hotwaterkettle']"
21,"['Recordplayer', 'Shampoo', 'Essentials', 'Bluetoothsoundsystem', 'Showergel', 'Blender', 'FreedryerInunit', 'Dryingrackforclothing', 'Outdoorfurniture', 'Coffeemaker', 'Privatepatioorbalcony', 'HDTVwithAmazonPrimeVideo', 'Chromecast', 'Netflix', 'Cookingbasics', 'Cleaningproducts', 'Dedicatedworkspace', 'Freezer', 'Refrigerator', 'Toaster', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Clothingstorage:dresser', 'Conditioner', 'Hotwater', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Fastwifi96Mbps', 'Laundromatnearby', 'Boschinductionstove', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
22,"['Coffeemaker:Nespresso', 'Shampoo', 'Paidstreetparkingoffpremises', 'Showergel', 'Minifridge', 'Luggagedropoffallowed', 'Privatepatioorbalcony', 'Standalonehighchair', 'Cookingbasics', 'Smokealarm', 'Wifi', 'Kitchenette', 'Conditioner', 'Hotwater', 'Bedlinens', 'Portableheater', 'Lakeaccess', 'Boardgames', 'Safe', 'Fireextinguisher', 'Ricemaker', 'Coffee', 'Hotwaterkettle']"
23,"['Essentials', 'Dishwasher', 'Clothingstorage:walk-incloset', 'closet', 'wardrobe', 'anddresser', 'Outdoorfurniture', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Freezer', 'Refrigerator', 'Wifi', 'Inductionstove', 'Wineglasses', 'SharedbackyardFullyfenced', 'Hotwater', 'Booksandreadingmaterial', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'Bakingsheet', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Paidparkingonpremises', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Doubleoven', 'Selfcheck-in', 'Diningtable', 'Microwave']"
25,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Freeparkingonpremises', 'Outdoordiningarea', 'TV', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm']"
26,"['Standalonehighchair-alwaysatthelisting', 'Gasstove', 'Recordplayer', 'Paidstreetparkingoffpremises', 'Singlelevelhome', 'Essentials', 'Changingtable-alwaysatthelisting', 'Pocketwifi', 'Dishwasher', 'Waterfront', 'Coffeemaker:espressomachine', 'Privateentrance', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Privatepatioorbalcony', 'Outdoordiningarea', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Toaster', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Hotwater', 'TV', 'Gardenview', 'Booksandreadingmaterial', 'Babybath-availableuponrequest', 'Bedlinens', 'Kitchen', 'FreewasherInunit', 'Centralheating', ""Children'splayroom"", 'PrivatebackyardFullyfenced', 'Dishesandsilverware', 'Childrensbooksandtoysforages0-2yearsold', 'Outletcovers', 'Crib', 'Oven', 'Fireextinguisher', 'Outdoorplayground', 'Microwave']"
27,"['FreewasherInbuilding', 'Marinaview', 'Shampoo', 'Hammock', 'Essentials', 'Pocketwifi', 'Bidet', 'Waterfront', 'EVcharger', 'Showergel', 'Minifridge', 'Paidparkingoffpremises', 'Cityskylineview', 'Privateentrance', 'Luggagedropoffallowed', 'Outdoorfurniture', 'Longtermstaysallowed', 'Coffeemaker', 'FreedryerInbuilding', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Dedicatedworkspace', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Petsallowed', 'Iron', 'Harborview', '100inchHDTV', 'Canalview', 'Firstaidkit', 'Hotwater', 'Centralairconditioning', 'Gardenview', 'Bathtub', 'Sharedpatioorbalcony', 'Bedlinens', 'Hangers', 'Kitchen', 'Portablefans', 'Ethernetconnection', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Backyard', 'Oven', 'Fireextinguisher', 'Coffee', 'Hostgreetsyou', 'Hotwaterkettle']"
29,"['Dishwasher', 'Coffeemaker:dripcoffeemaker', 'espressomachine', 'Privateentrance', 'Longtermstaysallowed', 'Cookingbasics', 'Freezer', 'Smokealarm', 'Refrigerator', 'Wifi', 'Wineglasses', 'Hotwater', 'TV', 'Clothingstorage:closet', 'Kitchen', 'Hangers', 'Stainlesssteeloven', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Sonossoundsystem', 'Laundromatnearby', 'Coffee', 'Otherinductionstove', 'Diningtable']"
30,"['Coffeemaker:Nespresso', 'Essentials', 'Dishwasher', 'Blender', 'FreedryerInunit', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Dedicatedworkspace', 'Toaster', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Lockbox', 'Bedlinens', 'Kitchen', 'Hangers', 'Singleoven', 'FreewasherInunit', 'Carbonmonoxidealarm', 'Centralheating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Boardgames', 'Selfcheck-in', 'Diningtable', 'Microwave']"
31,"['Coffeemaker:Nespresso', 'Shampoo', 'Singlelevelhome', 'Essentials', 'Waterfront', 'Paidparkingoffpremises', 'Minifridge', 'Privateentrance', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator', 'Wifi', 'Wineglasses', 'Canalview', 'Cleaningavailableduringstay', 'Hotwater', 'TV', 'Lockbox', 'Bedlinens', 'Hangers', 'Portableheater', 'Dishesandsilverware', 'Hairdryer', 'Room-darkeningshades', 'Fireextinguisher', 'Clothingstorage', 'Laundromatnearby', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Hotwaterkettle']"
32,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'Dryer', 'Dishesandsilverware', 'Coffeemaker', 'Backyard', 'Fireextinguisher', 'Firstaidkit', 'Freeparkingonpremises', 'Outdoordiningarea', 'TV', 'BBQgrill', 'Kitchen', 'Dedicatedworkspace', 'Smokealarm', 'Refrigerator']"
33,"['Barbecueutensils', 'Essentials', 'Dishwasher', 'Showergel', 'Minifridge', 'Coffeemaker:espressomachine', 'Blender', 'Trashcompactor', 'FreedryerInunit', 'Washer', 'Dryingrackforclothing', 'Piano', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Fastwifi317Mbps', 'Dedicatedworkspace', 'Refrigerator', 'Freezer', 'Stove', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Lockbox', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Portablefans', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Ricemaker', 'Clothingstorage', 'Stainlesssteeldoubleoven', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
34,"['Coffeemaker:Nespresso', 'Otherstainlesssteelgasstove', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Washer', 'Dryingrackforclothing', 'Cookingbasics', 'Dedicatedworkspace', 'Cleaningproducts', 'Smokealarm', 'Refrigerator', 'Wifi', 'Clothingstorage:closetanddresser', 'Wineglasses', 'Hotwater', 'Kitchen', 'Bedlinens', 'Stainlesssteeloven', 'Centralheating', 'Dishesandsilverware', 'Bodysoap', 'Patioorbalcony', 'Diningtable', 'Hotwaterkettle']"
35,"['Carbonmonoxidealarm', 'Wifi', 'Washer', 'TV', 'Hostgreetsyou', 'Kitchen', 'Smokealarm']"
36,"['Essentials', 'Privateentrance', 'Packnplay/Travelcrib', 'Washer', 'Coffeemaker', 'Privatepatioorbalcony', 'HDTVwithDisney+', 'Netflix', 'premiumcable', 'standardcable', 'Dedicatedworkspace', 'Smokealarm', 'Indoorfireplace:ethanol', 'Refrigerator', 'Wifi', 'Stove', 'Dryer', 'Iron', 'Breakfast', 'Canalview', 'Firstaidkit', 'Kitchen', 'Carbonmonoxidealarm', 'Firepit', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Hairdryer', 'Crib']"
37,"['Shampoo', 'Essentials', 'Dishwasher', 'Changingtable', 'Privateentrance', 'Packnplay/Travelcrib', 'Washer', 'Luggagedropoffallowed', 'Coffeemaker', 'Highchair', 'Cookingbasics', 'Smokealarm', 'Refrigerator', 'Wifi', 'Stove', 'Dryer', 'Iron', 'Firstaidkit', 'TV', 'Bathtub', 'Gardenview', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'PrivatebackyardFullyfenced', 'Childrensbooksandtoys', 'Hairdryer', 'Crib', 'Outletcovers', 'Oven', 'Fireextinguisher', 'Childrensdinnerware', 'Hostgreetsyou', 'Microwave']"
38,"['Indoorfireplace:gas', 'Pingpongtable', 'MarieStellaMarisbodysoap', 'Coffeemaker:Nespresso', 'Hammock', 'Sunloungers', 'Paidstreetparkingoffpremises', 'Essentials', 'Dishwasher', 'Bluetoothsoundsystem', 'EVcharger', 'Showergel', 'Cityskylineview', 'Privateentrance', '32inchHDTVwithChromecast', 'Netflix', 'standardcable', 'Siemensrefrigerator', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Buildingstaff', 'Outdoorfurniture', 'Longtermstaysallowed', 'Siemenselectricstove', 'Piano', 'Exerciseequipment:yogamat', 'Selfcheck-in', 'Paidparkinglotonpremises21spaces', 'Outdoordiningarea', 'Petsallowed', 'Cookingbasics', 'Cleaningproducts', 'PaidwasherInbuilding', 'Smokealarm', 'MarieStellaMarisshampoo', 'Wifi', 'Dedicatedworkspace', 'Freezer', 'Hotwaterkettle', 'Toaster', 'Iron', 'Wineglasses', 'Cleaningavailableduringstay', 'Firstaidkit', 'Elevator', 'Hotwater', 'Centralairconditioning', 'Sharedpatioorbalcony', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Bakingsheet', 'Sharedgymnearby', 'Carbonmonoxidealarm', 'Centralheating', 'Ethernetconnection', 'Gameconsole:NintendoSwitch', 'Dishesandsilverware', 'Firepit', 'Hairdryer', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Safe', 'Fireextinguisher', 'Ricemaker', 'Clothingstorage:closet', 'wardrobe', 'anddresser', 'Bikes', 'PaiddryerInbuilding', 'Coffee', 'Diningtable', 'Microwave']"
39,"['Coffeemaker:Nespresso', 'Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'Dryingrackforclothing', 'Wifi44Mbps', 'Borainductionstove', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bedlinens', 'Hangers', 'Kitchen', 'FreewasherInunit', 'Portablefans', 'Centralheating', 'Carbonmonoxidealarm', 'Ethernetconnection', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Oven', 'Fireextinguisher', 'Ricemaker', 'Clothingstorage', 'Laundromatnearby', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
41,"['Carbonmonoxidealarm', 'Washer', 'Standalonehighchair-alwaysatthelisting', 'Outdoorfurniture', 'Privatebackyard', 'Piano', 'Crib-alwaysatthelisting', 'Changingtable', 'Clothingstorage', 'Hotwater', 'TV', 'Bathtub', 'Outdoordiningarea', 'Childrensdinnerware', 'Smokealarm']"
42,"['Shampoo', 'Waterfront', 'Showergel', 'Mosquitonet', 'Washer', 'Dryingrackforclothing', 'Outdoordiningarea', 'Cleaningproducts', 'Smokealarm', 'Wifi', 'Dryer', 'Iron', 'Firstaidkit', 'Hotwater', 'TV', 'Bedlinens', 'Kitchen', 'Heating', 'Lakeaccess', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Fireextinguisher', 'Clothingstorage', 'Airconditioning']"
43,"['Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Hairdryer', 'Shampoo', 'Coffeemaker', 'Essentials', 'Canalview', 'Fireextinguisher', 'Privatepatioorbalcony', 'Hotwater', 'TV', 'Lockbox', 'Kitchen', 'Selfcheck-in', 'Microwave', 'Smokealarm', 'Refrigerator']"
44,"['Dishwasher', 'Blender', 'Washer', 'Coffeemaker', 'Freeparkingonpremises', 'Outdoordiningarea', 'BBQgrill', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Toaster', 'Soundsystem', 'Hotwaterkettle', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Booksandreadingmaterial', 'Kitchen', 'Bedlinens', 'Bakingsheet', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Room-darkeningshades', 'Oven', 'Clothingstorage', 'Coffee', 'Microwave']"
45,"['Wifi', 'Washer', 'Firepit', 'Keypad', 'Fireextinguisher', 'Firstaidkit', 'Freeparkingonpremises', 'Outdoordiningarea', 'TV', 'BBQgrill', 'Kitchen', 'Selfcheck-in', 'Petsallowed', 'Dedicatedworkspace', 'Smokealarm']"
46,"['Keypad', 'Shampoo', 'Essentials', 'Dishwasher', '43inchTV', 'Showergel', 'Exteriorsecuritycamerasonproperty', 'Luggagedropoffallowed', 'Longtermstaysallowed', 'Coffeemaker', 'Crib-availableuponrequest', 'Cookingbasics', 'Dedicatedworkspace', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Stove', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Bathtub', 'Bedlinens', 'Hangers', 'Kitchen', 'Carbonmonoxidealarm', 'Heating', 'Clothingstorage:wardrobe', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Safe', 'Fireextinguisher', 'Selfcheck-in', 'Coffee', 'Diningtable', 'Microwave']"
47,"['Shampoo', 'Essentials', 'Dishwasher', 'Paidparkingoffpremises', 'Showergel', 'TVwithChromecast', 'Coffeemaker:espressomachine', 'Privateentrance', 'Blender', 'Stainlesssteelstove', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Cookingbasics', 'Cleaningproducts', 'Clothingstorage:closetandwardrobe', 'Smokealarm', 'Dedicatedworkspace', 'Wifi', 'Refrigerator', 'Freezer', 'Hotwaterkettle', 'Toaster', 'Dryer', 'Iron', 'Wineglasses', 'Conditioner', 'Hotwater', 'Booksandreadingmaterial', 'Bedlinens', 'Hangers', 'Kitchen', 'Stainlesssteeloven', 'Carbonmonoxidealarm', 'Heating', 'Dishesandsilverware', 'Bodysoap', 'Extrapillowsandblankets', 'Room-darkeningshades', 'Boardgames', 'Laundromatnearby', 'Hostgreetsyou', 'Diningtable', 'Microwave']"
48,"['Shampoo', 'Sunloungers', 'Essentials', 'Dishwasher', 'Showergel', 'Privateentrance', 'Blender', 'Washer', 'Luggagedropoffallowed', 'Dryingrackforclothing', 'Longtermstaysallowed', 'Othergasstove', 'Outdoordiningarea', 'Cookingbasics', 'Cleaningproducts', 'Smokealarm', 'Freezer', 'Refrigerator', 'Wifi', 'Hotwaterkettle', 'Iron', 'Wineglasses', 'Hotwater', 'TV', 'Bathtub', 'Clothingstorage:closet', 'Bedlinens', 'Kitchen', 'Singleoven', 'Bakingsheet', 'Carbonmonoxidealarm', 'Centralheating', 'Dishesandsilverware', 'Hairdryer', 'Bodysoap', 'Extrapillowsandblankets', 'Boardgames', 'Coffeemaker:dripcoffeemaker', 'Diningtable', 'Microwave']"
